,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted,GSPC.Return
184,2809.399902,2819.709961,2798.77002,2815.439941,3158170000,2815.439941,0.00358948145165551
185,2828.27002,2836.030029,2819.22998,2834.399902,3740700000,2834.399902,0.00673428004053453
186,2848.629883,2869.399902,2848.629883,2867.189941,3500760000,2867.189941,0.0115686001036279
187,2868.23999,2872.899902,2858.75,2867.23999,3246900000,2867.23999,1.74557671552408e-05
188,2876.090088,2885.25,2865.169922,2873.399902,3550240000,2873.399902,0.00214837684375352
189,2873.98999,2881.280029,2867.139893,2879.389893,3015180000,2879.389893,0.00208463534638205
190,2884.159912,2893.23999,2882.98999,2892.73999,3146820000,2892.73999,0.00463643254164885
191,2888.459961,2895.949951,2880.780029,2895.77002,3054030000,2895.77002,0.00104746019707077
192,2886.580078,2886.879883,2873.330078,2878.199951,3007980000,2878.199951,-0.00606749461409227
193,2881.370117,2889.709961,2879.129883,2888.209961,3062380000,2888.209961,0.00347787164561729
194,2891.919922,2893.419922,2881.98999,2888.320068,2938540000,2888.320068,3.81229209395317e-05
195,2900.860107,2910.540039,2898.370117,2907.409912,3688490000,2907.409912,0.00660932429598037
196,2908.320068,2909.600098,2896.47998,2905.580078,3088330000,2905.580078,-0.00062936911387957
197,2912.26001,2916.060059,2900.709961,2907.060059,3402210000,2907.060059,0.000509358186754457
198,2916.040039,2918,2895.449951,2900.449951,3602300000,2900.449951,-0.00227381198387544
199,2904.810059,2908.399902,2891.899902,2905.030029,3506850000,2905.030029,0.00157909223650657
200,2898.780029,2909.51001,2896.350098,2907.969971,2997950000,2907.969971,0.00101201776596161
201,2909.98999,2936.310059,2908.530029,2933.679932,3635030000,2933.679932,0.00884120580899906
202,2934,2936.830078,2926.050049,2927.25,3448960000,2927.25,-0.00219176329696487
203,2928.98999,2933.100098,2912.840088,2926.169922,3425280000,2926.169922,-0.000368973610043542
204,2925.810059,2939.879883,2917.560059,2939.879883,3248500000,2939.879883,0.00468529216192252
205,2940.580078,2949.52002,2939.350098,2943.030029,3118780000,2943.030029,0.00107152200952693
206,2937.139893,2948.219971,2924.110107,2945.830078,3919330000,2945.830078,0.000951417067583018
207,2952.330078,2954.129883,2923.360107,2923.72998,3645850000,2923.72998,-0.00750216319843004
208,2922.159912,2931.679932,2900.5,2917.52002,3778890000,2917.52002,-0.00212398547146277
209,2929.209961,2947.850098,2929.209961,2945.639893,3338120000,2945.639893,0.00963827936303248
210,2908.889893,2937.320068,2898.209961,2932.469971,3181520000,2932.469971,-0.00447098847055167
211,2913.030029,2913.030029,2862.600098,2884.050049,3767100000,2884.050049,-0.016511651433378
212,2879.610107,2897.959961,2873.280029,2879.419922,3485790000,2879.419922,-0.00160542532942704
213,2859.840088,2875.969971,2836.399902,2870.719971,3638820000,2870.719971,-0.0030214248826747
214,2863.100098,2891.310059,2825.389893,2881.399902,3529600000,2881.399902,0.00372029703624482
215,2840.189941,2840.189941,2801.429932,2811.870117,3894030000,2811.870117,-0.0241305571474959
216,2820.120117,2852.540039,2820.120117,2834.409912,3322720000,2834.409912,0.00801594457145409
217,2820.379883,2858.679932,2815.080078,2850.959961,3125950000,2850.959961,0.00583897513550607
218,2855.800049,2892.149902,2855.800049,2876.320068,3338060000,2876.320068,0.00889528697242899
219,2858.600098,2885.47998,2854.22998,2859.530029,3257950000,2859.530029,-0.0058373333297621
220,2841.939941,2853.860107,2831.290039,2840.22998,3288870000,2840.22998,-0.00674937797619468
221,2854.02002,2868.879883,2854.02002,2864.360107,3218700000,2864.360107,0.00849583560835447
222,2856.060059,2865.469971,2851.110107,2856.27002,3192510000,2856.27002,-0.00282439592013213
223,2836.699951,2836.699951,2805.48999,2822.23999,3891980000,2822.23999,-0.0119141501894838
224,2832.409912,2841.360107,2820.189941,2826.060059,2887390000,2826.060059,0.00135355923434416
225,2830.030029,2840.51001,2801.580078,2802.389893,4121410000,2802.389893,-0.00837567691621372
226,2790.25,2792.030029,2766.060059,2783.02002,3700050000,2783.02002,-0.00691191223904407
227,2786.939941,2799,2776.73999,2788.860107,3273790000,2788.860107,0.00209847107028718
228,2766.149902,2768.97998,2750.52002,2752.060059,3981020000,2752.060059,-0.0131953725135343
229,2751.530029,2763.070068,2728.810059,2744.449951,3966700000,2744.449951,-0.00276524052413489
230,2762.639893,2804.48999,2762.639893,2803.27002,3810430000,2803.27002,0.0214323708029609
231,2818.090088,2827.280029,2800.919922,2826.149902,3548830000,2826.149902,0.00816185449020718
232,2828.51001,2852.100098,2822.449951,2843.48999,3396410000,2843.48999,0.00613558678813489
